Position,Club,Season,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,Points
7,Everton,2016/17,38,17,10,11,62,44,18,61
8,Southampton,2016/17,38,12,10,16,41,48,-7,46
9,Bournemouth,2016/17,38,12,10,16,55,67,-12,46
10,West Brom,2016/17,38,12,9,17,43,51,-8,45
11,West Ham,2016/17,38,12,9,17,47,64,-17,45
12,Leicester,2016/17,38,12,8,18,48,63,-15,44
13,Stoke,2016/17,38,11,11,16,41,56,-15,44
14,Crystal Palace,2016/17,38,12,5,21,50,63,-13,41
15,Swansea,2016/17,38,12,5,21,45,70,-25,41
16,Burnley,2016/17,38,11,7,20,39,55,-16,40
17,Watford,2016/17,38,11,7,20,40,68,-28,40
18,Hull,2016/17,38,9,7,22,37,80,-43,34
19,Middlesbrough,2016/17,38,5,13,20,27,53,-26,28
20,Sunderland,2016/17,38,6,6,26,29,69,-40,24
1,Man City,2017/18,38,32,4,2,106,27,79,100
2,Man United,2017/18,38,25,6,7,68,28,40,81
3,Tottenham,2017/18,38,23,8,7,74,36,38,77
4,Liverpool,2017/18,38,21,12,5,84,38,46,75
5,Chelsea,2017/18,38,21,7,10,62,38,24,70
6,Arsenal,2017/18,38,19,6,13,74,51,23,63
7,Burnley,2017/18,38,14,12,12,36,39,-3,54
8,Everton,2017/18,38,13,10,15,44,58,-14,49
9,Leicester,2017/18,38,12,11,15,56,60,-4,47
10,Newcastle,2017/18,38,12,8,18,39,47,-8,44
11,Crystal Palace,2017/18,38,11,11,16,45,55,-10,44
12,Bournemouth,2017/18,38,11,11,16,45,61,-16,44
13,West Ham,2017/18,38,10,12,16,48,68,-20,42
14,Watford,2017/18,38,11,8,19,44,64,-20,41
15,Brighton,2017/18,38,9,13,16,34,54,-20,40
16,Huddersfield,2017/18,38,9,10,19,28,58,-30,37
17,Southampton,2017/18,38,7,15,16,37,56,-19,36
18,Swansea,2017/18,38,8,9,21,28,56,-28,33
19,Stoke,2017/18,38,7,12,19,35,68,-33,33
20,West Brom,2017/18,38,6,13,19,31,56,-25,31
1,Man City,2018/19,38,32,2,4,95,23,72,98
2,Liverpool,2018/19,38,30,7,1,89,22,67,97
3,Chelsea,2018/19,38,21,9,8,63,39,24,72
4,Tottenham,2018/19,38,23,2,13,67,39,28,71
5,Arsenal,2018/19,38,21,7,10,73,51,22,70
6,Man United,2018/19,38,19,9,10,65,54,11,66
7,Wolves,2018/19,38,16,9,13,47,46,1,57
8,Everton,2018/19,38,15,9,14,54,46,8,54
9,Leicester,2018/19,38,15,7,16,51,48,3,52
10,West Ham,2018/19,38,15,7,16,52,55,-3,52
11,Watford,2018/19,38,14,8,16,52,59,-7,50
12,Crystal Palace,2018/19,38,14,7,17,51,53,-2,49
13,Newcastle,2018/19,38,12,9,17,42,48,-6,45
14,Bournemouth,2018/19,38,13,6,19,56,70,-14,45
15,Burnley,2018/19,38,11,7,20,45,68,-23,40
16,Southampton,2018/19,38,9,12,17,45,65,-20,39
17,Brighton,2018/19,38,9,9,20,35,60,-25,36
18,Cardiff,2018/19,38,10,4,24,34,69,-35,34
19,Fulham,2018/19,38,7,5,26,34,81,-47,26
20,Huddersfield,2018/19,38,3,7,28,22,76,-54,16
1,Liverpool,2019/20,38,32,3,3,85,33,52,99
2,Man City,2019/20,38,26,3,9,102,35,67,81
3,Man United,2019/20,38,18,12,8,66,36,30,66
4,Chelsea,2019/20,38,20,6,12,69,54,15,66
5,Leicester,2019/20,38,18,8,12,67,41,26,62
6,Tottenham,2019/20,38,16,11,11,61,47,14,59
7,Wolves,2019/20,38,15,14,9,51,40,11,59
8,Arsenal,2019/20,38,14,14,10,56,48,8,56
9,Sheffield United,2019/20,38,14,12,12,39,39,0,54
10,Burnley,2019/20,38,15,9,14,43,50,-7,54
11,Southampton,2019/20,38,15,7,16,51,60,-9,52
12,Everton,2019/20,38,13,10,15,44,56,-12,49
13,Newcastle,2019/20,38,11,11,16,38,58,-20,44
14,Crystal Palace,2019/20,38,11,10,17,31,50,-19,43
15,Brighton,2019/20,38,9,14,15,39,54,-15,41
16,West Ham,2019/20,38,10,9,19,49,62,-13,39
17,Aston Villa,2019/20,38,9,8,21,41,67,-26,35
18,Bournemouth,2019/20,38,9,7,22,40,65,-25,34
19,Watford,2019/20,38,8,10,20,36,64,-28,34
20,Norwich,2019/20,38,5,6,27,26,75,-49,21
